"Date","Record Number","Record Type","Project Name","Status",
"12/29/2020","21SN0586","Zoning Case","Allen & Sumac Diaz","Approved",
"12/22/2020","21SN0589","Zoning Case","Cassy Paminiano","Approved",
"12/22/2020","21SN0571","Zoning Case","Wynel & Sinclair Harris","Approved",
"12/11/2020","21SN0561","Zoning Case","CP4 Development, LLC","Approved",
"12/09/2020","21SN0565","Zoning Case","Reid Jill","Approved",
"12/08/2020","21SN0585","Zoning Case","Laura Hinkle","Approved",
"12/04/2020","21SN0578","Zoning Case","PREMIER RE FUND V LLC (Meadowbrook Shopping Center Sign)","Approved",
"12/04/2020","21SN0560","Zoning Case","Caroline Kalentzos","Withdrawn",
"12/02/2020","21SN0584","Zoning Case","McCahill, William - Virginia Electric and Power Company d/b/a Dominion Energy Virginia","Withdrawn",
"11/19/2020","21SN0556","Zoning Case","Christian Life Center, Inc.","Approved",
"11/17/2020","21SN0575","Zoning Case","McShay Communities, Inc.","Approved",
"11/16/2020","21SN0582","Zoning Case","April & Derrick Jack","Approved",
"11/16/2020","21SN0566","Zoning Case","Gray Westchester LLC (The Aire atWestchester)","Approved",
"11/13/2020","21SN0570","Zoning Case","Cynthia Mitchell","Approved",
"11/12/2020","21SN0542","Zoning Case",,"Approved",
"11/11/2020","21SN0573","Zoning Case","Middleburg Communities","Approved",
"11/05/2020","21SN0563","Zoning Case","Duke Quality Homes, LLC","Approved",
"10/30/2020","21SN0553","Zoning Case","Centric Development, LLC","Approved",
"10/29/2020","21SN0550","Zoning Case","2400 Station, LLC","Withdrawn",
"10/19/2020","21SN0548","Zoning Case","Manage This, LLC","Approved",
"10/19/2020","21SN0543","Zoning Case","Piedmont Venture LLC","Approved",
"10/14/2020","21SN0559","Zoning Case","Lauren & Timothy Barry","Withdrawn",
"10/09/2020","21SN0557","Zoning Case","Keith Jones Properties, LLC","Approved",
"10/07/2020","21SN0538","Zoning Case","Rachel Massey","Approved",
"10/06/2020","21SN0534","Zoning Case",,"Approved",
"09/29/2020","21SN0537","Zoning Case","Festival Park III, LLC","Approved",
"09/16/2020","21SN0530","Zoning Case","Kirk Lee Nelson","Approved",
"09/09/2020","21SN0525","Zoning Case",,"Approved",
"09/08/2020","21SN0539","Zoning Case","Dan McCarthy/Bon Secours Mercy Health","Approved",
"09/08/2020","21SN0523","Zoning Case","Lifestyle Builders & Developers, Inc.","Approved",
"09/05/2020","21SN0524","Zoning Case",,"Approved",
"09/03/2020","21SN0521","Zoning Case","Coalfield Reserve LLC, Felecia F. Diggs, Keith E. Diggs and Jeanne L. Stigall (Coalfield Reserve Apartments)","Approved",
"09/01/2020","21SN0541","Zoning Case","William and Alena Stewart","Approved",
"08/27/2020","21SN0546","Zoning Case","Westchester Towns Development Company, LLC","Approved",
"08/21/2020","21SN0526","Zoning Case","ARW Properties, LLC","Approved",
"08/19/2020","21SN0520","Zoning Case","Creighton Companies, LLC; Kenbridge Properties, LLC","Approved",
"08/05/2020","21SN0562","Zoning Case","Swift Creek Renewables, LLC and Shoosmith Bros, Inc.","Approved",
"07/31/2020","21SN0551","Zoning Case","Verdad Real Estate & Construction Services","Approved",
"07/28/2020","21SN0519","Zoning Case","Richmond Affordable Housing","Approved",
"07/23/2020","21SN0514","Zoning Case","Second Branch Baptist Church","Approved",
"07/15/2020","21SN0517","Zoning Case","HP Cottage Court Inc.","Approved",
"07/14/2020","21SN0515","Zoning Case",,"Approved",
"07/10/2020","21SN0527","Zoning Case","Lynda Heithaus; Kenneth Lankey; Simon Green","Approved",
"07/08/2020","21SN0529","Zoning Case","Swift Creek Vistas LLC","Approved",
"06/26/2020","21SN0518","Zoning Case",,"Approved",
"06/24/2020","21SN0503","Zoning Case",,"Approved",
"06/23/2020","20SN0615","Zoning Case",,"Approved",
"06/23/2020","21SN0508","Zoning Case","RCB Properties LLC","Approved",
"06/18/2020","21SN0506","Zoning Case","RDK Land Company LLC","Withdrawn",
"06/15/2020","20SN0614","Zoning Case",,"Approved",
"06/04/2020","20SN0613","Zoning Case",,"Approved",
"06/01/2020","20SN0611","Zoning Case","PG & MC, LLC","Withdrawn",
"05/14/2020","20SN0606","Zoning Case",,"Approved",
"05/13/2020","21SN0501","Zoning Case",,"Approved",
"05/05/2020","20SN0604","Zoning Case",,"Approved",
"05/05/2020","20SN0610","Zoning Case","Ian Brown, Harold and Kathy Driver","Approved",
"04/30/2020","21SN0504","Zoning Case","EWN Investments, Inc. (Hancock Station)","Approved",
"04/28/2020","20SN0603","Zoning Case","Goochland/West Creek Limited Partnership","Approved",
"04/26/2020","20SN0607","Zoning Case","Shemik Sellars","Approved",
"04/24/2020","20SN0605","Zoning Case",,"Withdrawn",
"04/21/2020","20SN0602","Zoning Case","Manorhouse Management, Inc.","Withdrawn",
"04/16/2020","20SN0601","Zoning Case",,"Approved",
"03/23/2020","20SN0598","Zoning Case",,"Approved",
"03/20/2020","20SN0594","Zoning Case",,"Approved",
"03/16/2020","20SN0608","Zoning Case","Oasis Park LLC","Approved",
"03/13/2020","20SN0599","Zoning Case",,"Approved",
"03/11/2020","20SN0592","Zoning Case",,"Approved",
"03/11/2020","20SN0589","Zoning Case",,"Withdrawn",
"03/11/2020","20SN0609","Zoning Case","Dudley C. Duncan","Approved",
"03/09/2020","20SN0596","Zoning Case",,"Approved",
"03/06/2020","20SN0600","Zoning Case","Douglas R. and Susan S. Sowers","Approved",
"02/28/2020","20SN0586","Zoning Case",,"Approved",
"02/26/2020","20SN0588","Zoning Case","Nathan & Stephanie Kuper","Withdrawn",
"02/18/2020","20SN0584","Zoning Case",,"Approved",
"02/18/2020","20SN0582","Zoning Case","GRCRE, LLC, LATC, LLC, Tak Tent LP, and Midlogreen, LLC","Approved",
"02/17/2020","20SN0577","Zoning Case",,"Approved",
"02/17/2020","20SN0591","Zoning Case","The Reed's Landing Corporation","Withdrawn",
"02/12/2020","20SN0585","Zoning Case",,"Approved",
"02/06/2020","21SN0522","Zoning Case","S & S Properties, L.C.","Approved",
"02/04/2020","20SN0587","Zoning Case",,"Withdrawn",
"02/04/2020","20SN0579","Zoning Case","Midlothian Turnpike Commercial Rezoning","On Hold",
"01/29/2020","20SN0576","Zoning Case","C. James Williams III","Approved",
"01/28/2020","20SN0573","Zoning Case",,"Approved",
"01/21/2020","20SN0593","Zoning Case",,"Approved",
"01/20/2020","20SN0597","Zoning Case",,"Approved",
"01/17/2020","20SN0575","Zoning Case",,"Approved",
"01/17/2020","20SN0578","Zoning Case",,"Approved",
"01/14/2020","20SN0574","Zoning Case",,"Approved",
"01/12/2020","20SN0581","Zoning Case",,"Approved",
"01/09/2020","21SN0549","Zoning Case","Vincent Adamson","Withdrawn",
"12/26/2019","20SN0569","Zoning Case","Kristin Phillips","Denied",
"12/13/2019","20SN0564","Zoning Case","Brandywine Operating Partnership, LP","Approved",
"12/08/2019","20SN0571","Zoning Case",,"Approved",
"12/06/2019","20SN0565","Zoning Case",,"Approved",
"12/03/2019","20SN0572","Zoning Case",,"Approved",
"11/26/2019","20SN0570","Zoning Case",,"Approved",
"11/19/2019","20SN0562","Zoning Case",,"Approved",
"11/18/2019","20SN0568","Zoning Case","Destiny Christian Center","Approved",
"10/28/2019","20SN0563","Zoning Case",,"Approved",
"10/22/2019","20SN0560","Zoning Case",,"Withdrawn",
"10/17/2019","20SN0567","Zoning Case","Lake Adventures, LLC","Approved",
"10/17/2019","20SN0558","Zoning Case","Glenn White","Pending Applicant",
"10/10/2019","20SN0553","Zoning Case",,"Withdrawn",
"09/27/2019","21SN0531","Zoning Case","Virginia Electric and Power Company d/b/a Dominion Energy Virginia","Approved",
"09/26/2019","20SN0546","Zoning Case",,"Approved",
"09/25/2019","20SN0541","Zoning Case",,"Approved",
"09/20/2019","20SN0595","Zoning Case",,"Approved",
"09/16/2019","20SN0550","Zoning Case",,"Approved",
"09/10/2019","20SN0531","Zoning Case",,"Approved",
"09/10/2019","20SN0545","Zoning Case","HMG Investments LLC; J. Mark Sowers","Pending Applicant",
"09/09/2019","20SN0543","Zoning Case",,"Approved",
"09/09/2019","20SN0555","Zoning Case",,"Approved",
"09/05/2019","20SN0590","Zoning Case","John McBride (Amber Grove)","Withdrawn",
"09/04/2019","20SN0547","Zoning Case","AREC 10, LLC","Approved",
"09/04/2019","20SN0528","Zoning Case","Chesterfield County Board of Supervisors (LaPrade Animal Adoption)","On Hold",
"09/03/2019","20SN0557","Zoning Case","Debra Wright","Approved",
"09/03/2019","20SN0536","Zoning Case","Leonard Buildings","Approved",
"08/30/2019","20SN0530","Zoning Case",,"Withdrawn",
"08/29/2019","20SN0556","Zoning Case",,"Approved",
"08/27/2019","20SN0540","Zoning Case","Lee Peck","Withdrawn",
"08/26/2019","20SN0542","Zoning Case",,"Approved",
"08/21/2019","20SN0539","Zoning Case",,"Approved",
"08/16/2019","20SN0535","Zoning Case",,"Approved",
"08/13/2019","20SN0551","Zoning Case",,"Approved",
"08/12/2019","20SN0534","Zoning Case",,"Approved",
"08/12/2019","20SN0544","Zoning Case","Caduceus Development LLC","Approved",
"08/09/2019","20SN0532","Zoning Case","Todd Kuhn","Withdrawn",
"08/06/2019","20SN0525","Zoning Case",,"Withdrawn",
"08/06/2019","20SN0522","Zoning Case",,"Approved",
"08/06/2019","20SN0552","Zoning Case","Ashley M. McGarry and Aaron R. Litt","Approved",
"07/30/2019","20SN0515","Zoning Case",,"Approved",
"07/30/2019","20SN0516","Zoning Case","Chesterfield County Board of Supervisors","Approved",
"07/29/2019","20SN0529","Zoning Case",,"Approved",
"07/29/2019","20SN0518","Zoning Case",,"Approved",
"07/25/2019","20SN0559","Zoning Case",,"Approved",
"07/19/2019","20SN0519","Zoning Case",,"Approved",
"07/17/2019","20SN0521","Zoning Case","Lisa Stinette","Approved",
"07/16/2019","20SN0512","Zoning Case",,"Approved",
"07/10/2019","20SN0517","Zoning Case",,"Approved",
"07/09/2019","20SN0527","Zoning Case",,"Approved",
"07/09/2019","20SN0526","Zoning Case","Courthouse Landing","Approved",
"07/02/2019","20SN0549","Zoning Case",,"Approved",
"06/25/2019","19SN0630","Zoning Case",,"Withdrawn",
"06/24/2019","20SN0501","Zoning Case",,"Approved",
"06/12/2019","19SN0631","Zoning Case",,"Approved",
"06/11/2019","20SN0507","Zoning Case",,"Approved",
"06/05/2019","20SN0508","Zoning Case",,"Approved",
"06/03/2019","20SN0505","Zoning Case",,"Approved",
"06/02/2019","20SN0504","Zoning Case",,"Approved",
"06/01/2019","20SN0520","Zoning Case",,"Approved",
"05/31/2019","20SN0503","Zoning Case",,"Approved",
"05/31/2019","19SN0629","Zoning Case","Swift Creek Station","Approved",
"05/29/2019","20SN0561","Zoning Case",,"Approved",
"05/29/2019","19SN0621","Zoning Case","Chesterfield County Planning Commission","Approved",
"05/17/2019","20SN0506","Zoning Case",,"Approved",
"05/15/2019","20SN0500","Zoning Case","Mike Garcia","Approved",
"05/08/2019","19SN0622","Zoning Case",,"Approved",
"04/29/2019","19SN0619","Zoning Case","Michael McQuade","Withdrawn",
"04/24/2019","19SN0628","Zoning Case",,"Approved",
"04/16/2019","19SN0624","Zoning Case","Kurt Schuster","Withdrawn",
"04/13/2019","20SN0510","Zoning Case","Michael Harris","Approved",
"04/09/2019","19SN0617","Zoning Case",,"Approved",
"04/09/2019","19SN0625","Zoning Case",,"Approved",
"04/04/2019","19SN0623","Zoning Case",,"Approved",
"04/03/2019","20SN0513","Zoning Case",,"Approved",
"03/29/2019","20SN0537","Zoning Case",,"Approved",
"03/28/2019","19SN0620","Zoning Case",,"Approved",
"03/26/2019","19SN0608","Zoning Case",,"Approved",
"03/19/2019","20SN0509","Zoning Case",,"Approved",
"03/18/2019","19SN0612","Zoning Case","Randolph's Pond LLC","Approved",
"03/15/2019","19SN0626","Zoning Case","Brian Greene","On Hold",
"03/14/2019","19SN0604","Zoning Case","Chesterfield County Board of Supervisors","Approved",
"03/06/2019","19SN0616","Zoning Case",,"Approved",
"03/05/2019","19SN0613","Zoning Case",,"Approved",
"03/04/2019","19SN0607","Zoning Case",,"Approved",
"02/19/2019","19SN0598","Zoning Case",,"Approved",
"02/15/2019","19SN0601","Zoning Case",,"Approved",
"02/15/2019","19SN0609","Zoning Case",,"Approved",
"02/15/2019","19SN0602","Zoning Case",,"Approved",
"02/14/2019","20SN0514","Zoning Case",,"Approved",
"02/13/2019","19SN0599","Zoning Case",,"Approved",
"02/12/2019","19SN0611","Zoning Case","Janet L. Willis","Approved",
"02/06/2019","19SN0596","Zoning Case",,"Approved",
"01/29/2019","20SN0538","Zoning Case",,"Approved",
"01/28/2019","19SN0614","Zoning Case",,"Approved",
"01/22/2019","19SN0606","Zoning Case",,"Approved",
"01/22/2019","19SN0600","Zoning Case",,"Approved",
"01/17/2019","19SN0627","Zoning Case",,"Approved",
"01/11/2019","19SN0610","Zoning Case",,"Approved",
"01/08/2019","19SN0587","Zoning Case","Thomas Gordon","Approved",
"01/07/2019","19SN0597","Zoning Case",,"Approved",
"01/07/2019","19SN0593","Zoning Case",,"Approved",
"01/04/2019","19SN0591","Zoning Case",,"Approved",
"01/02/2019","19SN0588","Zoning Case",,"Approved",
"12/31/2018","20SN0533","Zoning Case",,"Withdrawn",
"12/27/2018","19SN0580","Zoning Case",,"Approved",
"12/25/2018","19SN0584","Zoning Case",,"Approved",
"12/17/2018","19SN0590","Zoning Case",,"Approved",
"12/16/2018","19SN0585","Zoning Case",,"Approved",
"12/14/2018","19SN0589","Zoning Case",,"Approved",
"12/12/2018","19SN0592","Zoning Case",,"Approved",
"12/12/2018","19SN0578","Zoning Case",,"Approved",
"12/04/2018","19SN0603","Zoning Case",,"Approved",
"12/04/2018","19SN0582","Zoning Case",,"Approved",
"12/04/2018","19SN0615","Zoning Case",,"Approved",
"12/03/2018","19SN0605","Zoning Case","Matthew and Melissa Carr","Approved",
"11/30/2018","19SN0577","Zoning Case",,"Approved",
"11/29/2018","19SN0576","Zoning Case",,"Withdrawn",
"11/29/2018","19SN0595","Zoning Case","Aaron E. and Felicity P. Morris","Approved",
"11/20/2018","19SN0575","Zoning Case",,"Withdrawn",
"11/14/2018","19SN0579","Zoning Case",,"Approved",
"11/13/2018","19SN0594","Zoning Case",,"Approved",
"10/31/2018","19SN0570","Zoning Case",,"Approved",
"10/25/2018","19SN0573","Zoning Case",,"Withdrawn",
"10/24/2018","19SN0571","Zoning Case",,"Approved",
"10/23/2018","19SN0572","Zoning Case",,"Denied",
"10/11/2018","19SN0568","Zoning Case",,"Approved",
"10/08/2018","19SN0569","Zoning Case",,"Approved",
"09/27/2018","19SN0567","Zoning Case",,"Approved",
"09/24/2018","19SN0565","Zoning Case",,"Withdrawn",
"09/14/2018","19SN0564","Zoning Case",,"Approved",
"09/10/2018","19SN0566","Zoning Case",,"Approved",
"09/07/2018","19SN0559","Zoning Case",,"Withdrawn",
"09/04/2018","19SN0562","Zoning Case",,"Approved",
"09/04/2018","19SN0563","Zoning Case",,"Approved",
"08/29/2018","19SN0557","Zoning Case",,"Approved",
"08/28/2018","19SN0561","Zoning Case",,"Approved",
"08/10/2018","19SN0555","Zoning Case",,"Withdrawn",
"07/31/2018","19SN0586","Zoning Case",,"Withdrawn",
"07/31/2018","19SN0548","Zoning Case",,"Approved",
"07/27/2018","19SN0549","Zoning Case",,"Withdrawn",
"07/26/2018","19SN0556","Zoning Case",,"Denied",
"07/24/2018","19SN0552","Zoning Case",,"Approved",
"07/24/2018","19SN0541","Zoning Case",,"Approved",
"07/17/2018","19SN0554","Zoning Case","Virginia Electric and Power Company d/b/a Dominion Energy (Dutch Gap)","Approved",
"07/02/2018","19SN0537","Zoning Case",,"Approved",
"07/02/2018","19SN0512","Zoning Case","Jemeisha C. Justiniano","Approved",
"06/21/2018","18SN0840","Zoning Case",,"Withdrawn",
"06/12/2018","19SN0522","Zoning Case",,"Approved",
"06/11/2018","19SN0507","Zoning Case",,"Approved",
"06/05/2018","19SN0529","Zoning Case",,"Approved",
"06/05/2018","18SN0841","Zoning Case","Caitlen Manning","Approved",
"06/04/2018","18SN0839","Zoning Case",,"Approved",
"05/30/2018","18SN0837","Zoning Case","Stephen Louderback & Cecllia LePage","Approved",
"05/24/2018","18SN0832","Zoning Case",,"Withdrawn",
"05/23/2018","18SN0831","Zoning Case",,"Denied",
"05/15/2018","18SN0838","Zoning Case",,"Approved",
"05/11/2018","18SN0824","Zoning Case",,"Approved",
"05/04/2018","19SN0524","Zoning Case",,"Approved",
"05/02/2018","19SN0502","Zoning Case","Barry Parham","Withdrawn",
"05/01/2018","18SN0829","Zoning Case",,"Approved",
"04/30/2018","18SN0826","Zoning Case",,"Withdrawn",
"04/30/2018","18SN0833","Zoning Case",,"Approved",
"04/27/2018","18SN0815","Zoning Case",,"Approved",
"04/25/2018","18SN0804","Zoning Case",,"Approved",
"04/24/2018","19SN0553","Zoning Case",,"Approved",
"04/24/2018","18SN0806","Zoning Case",,"Approved",
"04/23/2018","18SN0836","Zoning Case",,"Approved",
"04/05/2018","18SN0834","Zoning Case","Lingerfelt Development, LLC","Approved",
"03/30/2018","18SN0770","Zoning Case",,"Withdrawn",
"03/28/2018","18SN0794","Zoning Case",,"Approved",
"03/27/2018","18SN0817","Zoning Case",,"Approved",
"03/27/2018","18SN0769","Zoning Case",,"Approved",
"03/27/2018","18SN0783","Zoning Case",,"Approved",
"03/27/2018","18SN0788","Zoning Case",,"Approved",
"03/23/2018","18SN0749","Zoning Case",,"Approved",
"03/18/2018","18SN0776","Zoning Case",,"Approved",
"03/06/2018","18SN0781","Zoning Case",,"Approved",
"03/06/2018","18SN0745","Zoning Case",,"Approved",
"03/06/2018","18SN0801","Zoning Case",,"Approved",
"02/27/2018","18SN0782","Zoning Case",,"Approved",
"02/22/2018","18SN0734","Zoning Case",,"Approved",
"02/21/2018","18SN0733","Zoning Case",,"Approved",
"02/21/2018","19SN0581","Zoning Case",,"Approved",
"02/20/2018","18SN0736","Zoning Case",,"Approved",
"02/09/2018","18SN0732","Zoning Case",,"Approved",
"02/07/2018","18SN0735","Zoning Case",,"Approved",
"02/05/2018","18SN0746","Zoning Case","Michael Turner","Withdrawn",
"01/30/2018","18SN0768","Zoning Case",,"Approved",
"01/22/2018","18SN0835","Zoning Case",,"Approved",
"01/08/2018","18SN0725","Zoning Case",,"Approved",
"12/29/2017","18SN0724","Zoning Case",,"Approved",
"12/22/2017","18SN0723","Zoning Case",,"Approved",
"12/22/2017","18SN0729","Zoning Case",,"Approved",
"12/05/2017","18SN0731","Zoning Case",,"Approved",
"12/05/2017","18SN0730","Zoning Case","Stephanie N. Griffith","Approved",
"11/28/2017","18SN0728","Zoning Case",,"Approved",
"11/27/2017","18SN0710","Zoning Case",,"Approved",
"11/13/2017","18SN0720","Zoning Case",,"Approved",
"11/10/2017","18SN0717","Zoning Case",,"Approved",
"11/09/2017","18SN0709","Zoning Case",,"Approved",
"10/30/2017","18SN0669","Zoning Case",,"Approved",
"10/30/2017","18SN0686","Zoning Case",,"Approved",
"10/29/2017","18SN0797","Zoning Case",,"Denied",
"10/27/2017","18SN0644","Zoning Case",,"Approved",
"10/24/2017","18SN0655","Zoning Case",,"Approved",
"10/24/2017","18SN0625","Zoning Case",,"Approved",
"10/20/2017","18SN0624","Zoning Case",,"Approved",
"10/16/2017","18SN0712","Zoning Case","Stanley Anderson & VA Wood Prop. LLC","Approved",
"10/11/2017","18SN0626","Zoning Case",,"Approved",
"10/09/2017","18SN0629","Zoning Case",,"Approved",
"10/04/2017","18SN0622","Zoning Case",,"Withdrawn",
"10/03/2017","18SN0621","Zoning Case",,"Approved",
"10/03/2017","18SN0661","Zoning Case",,"Approved",
"10/02/2017","18SN0623","Zoning Case",,"Approved",
"09/27/2017","18SN0620","Zoning Case",,"Withdrawn",
"09/26/2017","18SN0630","Zoning Case",,"Approved",
"09/18/2017","18SN0664","Zoning Case","Ramzi and Soha Ramadan","Approved",
"09/12/2017","18SN0628","Zoning Case",,"Approved",
"09/06/2017","18SN0618","Zoning Case",,"Withdrawn",
"08/31/2017","18SN0761","Zoning Case",,"Withdrawn",
"08/30/2017","18SN0598","Zoning Case",,"Approved",
"08/22/2017","18SN0582","Zoning Case",,"Approved",
"08/15/2017","18SN0578","Zoning Case",,"Approved",
"08/10/2017","18SN0663","Zoning Case",,"Withdrawn",
"08/08/2017","18SN0659","Zoning Case",,"Approved",
"08/03/2017","18SN0595","Zoning Case",,"Approved",
"08/03/2017","18SN0596","Zoning Case",,"Approved",
"08/02/2017","18SN0573","Zoning Case",,"Approved",
"07/28/2017","18SN0551","Zoning Case",,"Approved",
"07/28/2017","18SN0560","Zoning Case",,"Withdrawn",
"07/25/2017","18SN0545","Zoning Case",,"Approved",
"07/25/2017","18SN0581","Zoning Case",,"Approved",
"07/25/2017","18SN0544","Zoning Case",,"Approved",
"07/11/2017","18SN0574","Zoning Case",,"Approved",
"07/11/2017","18SN0534","Zoning Case",,"Approved",
"07/01/2017","18SN0530","Zoning Case",,"Approved",
"06/29/2017","18SN0611","Zoning Case",,"Approved",
"06/28/2017","18SN0525","Zoning Case",,"Withdrawn",
"06/28/2017","18SN0514","Zoning Case",,"Approved",
"06/27/2017","18SN0612","Zoning Case",,"Approved",
"06/26/2017","18SN0516","Zoning Case",,"Approved",
"06/26/2017","18SN0518","Zoning Case",,"Approved",
"06/20/2017","18SN0519","Zoning Case",,"Approved",
"06/20/2017","18SN0523","Zoning Case",,"Withdrawn",
"06/20/2017","18SN0520","Zoning Case",,"Approved",
"06/20/2017","18SN0510","Zoning Case",,"Approved",
"06/19/2017","18SN0512","Zoning Case",,"Withdrawn",
"06/19/2017","18SN0610","Zoning Case",,"Approved",
"06/13/2017","18SN0508","Zoning Case",,"Approved",
"06/13/2017","18SN0665","Zoning Case",,"Approved",
"06/07/2017","18SN0528","Zoning Case",,"Approved",
"06/06/2017","18SN0527","Zoning Case",,"Approved",
"05/30/2017","18SN0747","Zoning Case",,"Approved",
"05/25/2017","18SN0532","Zoning Case",,"Approved",
"05/24/2017","17SN0826","Zoning Case",,"Approved",
"05/24/2017","18SN0509","Zoning Case",,"Approved",
"05/24/2017","18SN0809","Zoning Case","Schell Brothers Richmond LLC","Approved",
"05/23/2017","18SN0531","Zoning Case",,"Withdrawn",
"05/12/2017","17SN0828","Zoning Case",,"Withdrawn",
"05/12/2017","17SN0827","Zoning Case",,"Approved",
"05/09/2017","18SN0500","Zoning Case",,"Approved",
"05/08/2017","17SN0825","Zoning Case",,"Approved",
"05/02/2017","17SN0830","Zoning Case",,"Approved",
"05/01/2017","17SN0816","Zoning Case",,"Approved",
"05/01/2017","17SN0824","Zoning Case",,"Approved",
