Case.Number,Part,Description,zoning_old,zoning_new,acres,n_unknown,n_mfa,n_sfd,n_sfa,n_age_restrict,n_affordable
ZMAP-2013-0010,1,GLASCOCK FIELD AT STONE RIDGE : A zoning map amendment to rezone approximately 7.3 acres from PDOP to R16 to accommodate the relocation of 128 multi-family res             idential units; and to rezone approximately 1.0 acre from R16 to CLI,R16,CLI,1,0,,,,,
ZMAP-2013-0010,2,GLASCOCK FIELD AT STONE RIDGE : A zoning map amendment to rezone approximately 7.3 acres from PDOP to R16 to accommodate the relocation of 128 multi-family res             idential units; and to rezone approximately 1.0 acre from R16 to CLI,PDOP,R16,7.3,0,,,,,
ZMAP-2013-0011,1,FLEETWOOD ROAD NORTH ASSEMBLAGE : A zoning map amendment to rezone the property from TR3-UBF to TR2-UBF for the purpose of construction a community of single family detached dwelling units at a density of 1.57 dwelling units per acre.,TR3UBF,TR2UBF,,,,1.57/acre,,,
ZMAP-2013-0012,1,LIM PROPERTY : Rezone approximately 16.77 acres from R-1 to PD-H4 administered as R-8to allow 80                                                           townhouse units.,R-1,PDH4,16.77,,80,,,,
ZMAP-2013-0013,1,OLD RYAN ROAD : Rezone 3.35 acres from R-1 to R-16 with the purpose of developing a   residential community at an overall density of 9.6 dwelling units per acre with modifications.,R-1,R16,3.35,32,,,,,
ZMAP-2013-0014,1,MCINTOSH ASSEMBLAGE : Rezone 97.11 acres from TR-1 and TR-3 to TR-1 to develop 81 single    family detached units.,TR1,"TR3, TR1",97.11,,,81,,,
ZMAP-2014-0001,1,RT 28 MAPPING OPTIONAL OVERLAY DISTRICTS : Mapping of Route 28 optional overlay districts.,,,,,,,,,
ZMAP-2014-0002,1,ASHBURN OVERLOOK : A zoning map amendment to rezone approximately 10.83 acres from PD-GI to R-8 for up to 72 single-family attached units with modifications,PDGI,R8,10.83,,,,72,,
ZMAP-2014-0003,1,"POLAND HILL : A zoning map amendment to rezone approximately 49 acres from R-1 to   PD-H4, administered as R-8 ADU and R-16 ADU to develop 219 single     family detached, single family attached, and multi-family units, a    portion of which will be age restricted.",R-1,PDH4,49,219,,,,,
ZMAP-2014-0004,1,"OLD STERLING : A zoning map amendment to rezone a split-zoned, one acre parcel PD-GI ('72), R-2 and PD-GI ('93) to PD-IP.","PDGI, R-2",PDIP,1,,,,,,
ZMAP-2014-0005,1,"BELFORT PROPERTIES : A zoning map amendment to rezone approximately 4.32 acres from R4 to  R16 to develop a residential community of single family attached unitsat a density of 9.9 dwelling units per acre, and to rezone            approximately 13.58 acres from R4 and PDIP to PD-CC-CC for the purposeto develop a commercial center with modifications","R4, PDIP",PDCCCC,,,,,,,
ZMAP-2014-0005,2,"BELFORT PROPERTIES : A zoning map amendment to rezone approximately 4.32 acres from R4 to  R16 to develop a residential community of single family attached unitsat a density of 9.9 dwelling units per acre, and to rezone            approximately 13.58 acres from R4 and PDIP to PD-CC-CC for the purposeto develop a commercial center with modifications",R-4,R16,4.32,,,,43,,
ZMAP-2014-0006,1,"WHITMAN PROPERTY NORTH : A zoning map amendment to rezone approx. 50 acres from R1 to R8 for   238 dwelling units (143 SFA, 95 SFD) & restrict approx. 14 acres      zoned TR1 & TR3 to park use only",,R1,,,,,,,
ZMAP-2014-0006,2,"WHITMAN PROPERTY NORTH : A zoning map amendment to rezone approx. 50 acres from R1 to R8 for   238 dwelling units (143 SFA, 95 SFD) & restrict approx. 14 acres      zoned TR1 & TR3 to park use only",R1,R8,50,,,95,143,,
ZMAP-2014-0006,3,"WHITMAN PROPERTY NORTH : A zoning map amendment to rezone approx. 50 acres from R1 to R8 for   238 dwelling units (143 SFA, 95 SFD) & restrict approx. 14 acres      zoned TR1 & TR3 to park use only",,TR1LF,14,,,,,,
ZMAP-2014-0006,4,"WHITMAN PROPERTY NORTH : A zoning map amendment to rezone approx. 50 acres from R1 to R8 for   238 dwelling units (143 SFA, 95 SFD) & restrict approx. 14 acres      zoned TR1 & TR3 to park use only",,TR3LF,,,,,,,
ZMAP-2014-0007,1,PARTLOW PROPERTY : A zoning map amendment to rezone approximately 4.90 acres from R1 to  R8 to permit development of a maximum of eleven single family attachedtownhouse dwellings with modifications.,R1,R8,4.9,,,,11,,
ZMAP-2014-0008,1,WHITMAN PROPERTY SOUTH : A zoning map amendment to rezone approximately 7.34 acres from TR-1   and TR-3 to PD-CC(CC) with modifications,"TR1, TR3",PDCCCC,7.34,,,,,,
ZMAP-2014-0009,1,MILLER PROPERTY : Withdraw from the Goose Creek Historic District.,,,,,,,,,
ZMAP-2014-0010,1,ALLIANCE-FIELDS TRACT : To rezone approximately 0.58 acre from AR-1 to RC,AR1,RC,0.58,,,,,,
ZMAP-2015-0001,1,"LEXINGTON 7 : A zoning map amendment to rezone 18.5 ac from PDOP to PD-CC-CC to     permit development of up to 90,000 sf of retail and commercial uses;  8.1 ac from PD-OP to PI-IP to permit development of up to 110,000 sf  of commercial uses; 33.8 ac from PD-OP to R-8 and to permit a         continuing care facility (125 rooms) and up to 113 age-restricted SFA residential units with modifications.",PDOP,PDCCCC,18.5,,,,,,
ZMAP-2015-0001,2,"LEXINGTON 7 : A zoning map amendment to rezone 18.5 ac from PDOP to PD-CC-CC to     permit development of up to 90,000 sf of retail and commercial uses;  8.1 ac from PD-OP to PI-IP to permit development of up to 110,000 sf  of commercial uses; 33.8 ac from PD-OP to R-8 and to permit a         continuing care facility (125 rooms) and up to 113 age-restricted SFA residential units with modifications.",PDOP,PDIP,8.1,,,,,,
ZMAP-2015-0001,3,"LEXINGTON 7 : A zoning map amendment to rezone 18.5 ac from PDOP to PD-CC-CC to     permit development of up to 90,000 sf of retail and commercial uses;  8.1 ac from PD-OP to PI-IP to permit development of up to 110,000 sf  of commercial uses; 33.8 ac from PD-OP to R-8 and to permit a         continuing care facility (125 rooms) and up to 113 age-restricted SFA residential units with modifications.",,PDOP,,,,,,,
ZMAP-2015-0001,4,"LEXINGTON 7 : A zoning map amendment to rezone 18.5 ac from PDOP to PD-CC-CC to     permit development of up to 90,000 sf of retail and commercial uses;  8.1 ac from PD-OP to PI-IP to permit development of up to 110,000 sf  of commercial uses; 33.8 ac from PD-OP to R-8 and to permit a         continuing care facility (125 rooms) and up to 113 age-restricted SFA residential units with modifications.",PDOP,R8,33.8,,,,,113,
ZMAP-2015-0002,1,DULLES LANDING : Rezone approximately 12 acres from CLI to PD-CC(RC) and incorporate   into Dulles Landing.,CLI,PDCCRC,12,,,,,,
ZMAP-2015-0003,1,POET'S WALK AT LANSDOWNE : Rezone approximately 2.49 acres from PD-OP to PD-MUB,PDOP,PDMUB,2.49,,,,,,
ZMAP-2015-0004,1,GVH PROD : Production Test Case,,,,,,,,,
ZMAP-2015-0005,1,DULLES 28 CENTRE : Rezone approximately 1 acre from PD-IP ('72) to PD-CC(RC),PDIP,PDCCRC,1,,,,,,
ZMAP-2015-0006,1,SHOPPES AT EAST GATE : 09-22-15 Submission: Rezone 8.29 acres from CLI (8.18 acres) and      PD-MUB (0.11 Acres) to PD-CC-CC.  05-27-15 Submission: Rezone 9.39    acres from CLI (9.27 ac) and PD-MUB (0.12 ac) to PD-CC-SC (8.23 ac)   and PD-MUB (1.16 ac).,"CLI, PDMUB",PDCCSC,8.29,,,,,,
ZMAP-2015-0007,1,"ONE LOUDOUN : A zoning map amendment to rezone approximately 5 acres from PD-OP     to PD-IP to develop a storage, mini-warehouse and a outdoor recreationestablisment and rezone approximately 5 acres from PD-OP to R-16 to   develop                                                               40 SFA dwelling units",PDOP,PDIP,5,,,,,,
ZMAP-2015-0007,2,"ONE LOUDOUN : A zoning map amendment to rezone approximately 5 acres from PD-OP     to PD-IP to develop a storage, mini-warehouse and a outdoor recreationestablisment and rezone approximately 5 acres from PD-OP to R-16 to   develop                                                               40 SFA dwelling units",PDOP,R16,5,,,,40,,
ZMAP-2015-0008,1,"CENTURY CORNER AT GOOSE CREEK VILLAGE : A zoning map amendment to rezone approximately 16.35 acres from PDOP &PDCCCC to PDMUB to develop a vertically mixed project                 consisting of 564 multi-family residential, 164,500 sf                retail/commercial & 1 million sf of office                            with modifications.","PDOP, PDCCCC",PDMUB,16.35,,564,,,,
ZMAP-2015-0009,1,18166 LINCOLN ROAD : A Zoning Map Amendment to add the subject parcel to the Goose Creek   Historic District.,,,,,,,,,
ZMAP-2015-0010,1,SHOPPES AT EAST GATE : Rezone 1 acre from CLI to PD-MUB.,CLI,PDMUB,1,,,,,,
ZMAP-2015-0011,1,ADDISON MCDONALD PROPERTIES : A zoning map amendment to rezone approximately 6.95 acres from R-1 to R-8 to permit 39 single family attached homes with modifications,R1,R8,6.95,,,,39,,
ZMAP-2015-0012,1,CORPUS CHRISTI CATHOLIC CHURCH : A zoning map amendment to rezone 17.9 acres from TR1UBF to R1 for the purpose to modify building height,TR1UBF,R1,17.9,0,,,,,
ZMAP-2015-0013,1,JSF EAST GATE : A zoning map amendment to rezone 4.06 acres from CLI to PDIP,CLI,PDIP,4.06,,,,,,
ZMAP-2015-0014,1,LCSB WESTERN LOUDOUN TRANSPORTATION : A zoning map amendment to rezone approximately 1.83 acres from JLMA3  to RC to allow a permanent transportation facility and other          government uses,JLMA3,RC,1.83,,,,,,
ZMAP-2016-0001,1,NATIONAL CONFERENCE CENTER EAST : Rezone 38.6 acres from PD-SA to PD-OP & rezone 20.27 acres from PD-SA to PDH-4 for 74 single family units,PDSA,PDH4,20.27,74,,,,,
ZMAP-2016-0001,2,NATIONAL CONFERENCE CENTER EAST : Rezone 38.6 acres from PD-SA to PD-OP & rezone 20.27 acres from PD-SA to PDH-4 for 74 single family units,PDSA,PDOP,38.6,,,,,,
ZMAP-2016-0002,1,NATIONAL CONFERENCE CENTER WEST : Rezone approximately 8 acres from PD-SA to R-8 to allow 27 single     family attached units.,PDSA,R8,,,,,27,,
ZMAP-2016-0003,1,LOUDOUN HOSPITAL CENTER : A zoning map amendment to remove Land Bay P from Exhibit 24 of the    original rezoning ZMAP-1990-0011,,PDOP,,0,,,,,
ZMAP-2016-0004,1,"LANSDOWNE CONTINUING CARE FACILITY AAL : A zoning map amendment to rezone approximately 5.7 acres from PDOP to PDMUB with modifications to allow a continuing care facility, adult   assisted living use.",PDOP,PDMUB,5.7,,,,,,
ZMAP-2016-0005,1,BRANDT COMMERCIAL : ZMAP/ZCPA to rezone 7.73 acres from PD-H4 to PD-CC-CC                 A zoning map amendment to rezone approximately 2.35 acres from PD-H4  (administered as R-8) to PD-CC-CC and 1.81 acres of PD-CC-CC district to be rezoned to PD-H4 (administered as R-8) with modifications,PDH4,PDCCCC,7.73,,,,,,
ZMAP-2016-0006,1,WATERSIDE TOWN CENTER : A zoning map amendment to rezone 2.2 acres of land from PDRDP under   the 1972 zoning ordinance to PDTC .,PDRDP,PDTC,2.2,,,,,,
ZMAP-2016-0007,1,WATERSIDE DULLES 2000 : A zoning map amendment to rezone 2.33 acres from PDTC to PDRDP and to exempt that acreage from the Waterside proffers.,PDTC,PDRDP,2.33,,,,,,
ZMAP-2016-0008,1,THE VILLAGE AT POTOMAC FARMS : A zoning map amendment to rezone 20.55 acres (A3 to PDMUB with        modifications),A3,PDMUB,20.55,,,,,,
ZMAP-2016-0009,1,"ASHBURN VILLAGE DEVELOPMENT : A zoning map amendment to rezone from PDIP 21.4 acres to PDOP 5.9     acres to PDCCNC, and 25 acres to R24 with modifications",PDIP,"PDOP, PDCCNC, R24",52.3,,,,,,
ZMAP-2016-0010,1,"BROADLANDS ASHBURN METRO : A zoning map amendment to rezone 37 acres to PD-TRC to develop up to  257 residential units w/ ADUs and public use site (school) in Section 202; the dedicatoin of 11.32 acres of land for a public use site      (park);  and to rezone 16.6 acres to PD-TRC to develop up to 519      multi-family units                                                    and up to 419,750 sf for retail, office, office/educational, and hoteluses in Section 204 with modifications.",,PDTRC,53.6,257,519,,,,
ZMAP-2016-0011,1,AVONLEA II : A zoning map amendment to rezone approximately 15.54 acres from       PD-CC(SC) to R-24 (ADU),,PDCCSC,,,,,,,
ZMAP-2016-0011,2,AVONLEA II : A zoning map amendment to rezone approximately 15.54 acres from       PD-CC(SC) to R-24 (ADU),PDCCSC,R24,15.54,,,,,,
ZMAP-2016-0012,1,ARCOLA CENTER - THE SHOPS : A zoning map amendment to rezone approximately 12.19 acres from       PDCC(CC) and PDIP to PDCC(RC) with modifications,"PDCCCC, PDIP",PDCCRC,12.19,,,,,,
ZMAP-2016-0013,1,ARCOLA CENTER : A zoning map amendment to rezone approximately 43.93 acres from       PD-CC(RC) to PD-IP with modifications,PDCCRC,PDIP,43.93,,,,,,
ZMAP-2016-0013,2,ARCOLA CENTER : A zoning map amendment to rezone approximately 43.93 acres from       PD-CC(RC) to PD-IP with modifications,,PDIP,,,,,,,
ZMAP-2016-0013,3,ARCOLA CENTER : A zoning map amendment to rezone approximately 43.93 acres from       PD-CC(RC) to PD-IP with modifications,,PDTC,,,,,,,
ZMAP-2016-0014,1,"OLSEN PROPERTY BRAMBLETON : A zoning map amendment to rezone approximately 14.01 acres from TR10  to PDH4 to develop up to 40 lots with detached, single family homes   with modications",TR10,PDH4,14.01,,,40,,,
ZMAP-2016-0015,1,GLASCOCK FIELD AT STONE RIDGE : A zoning map amendment to rezone 2.53 acres from PD-OP to PD-CC-CC.,PDOP,PDCCCC,2.53,,,,,,
ZMAP-2016-0016,1,EVERGREEN MEADOWS : A zoning map amendment to rezone approximately 1.77 acres from CR1 to PDIP with modifications,CR1,PDIP,1.77,,,,,,
ZMAP-2016-0017,1,COMMONWEALTH CENTER : ZMAP request to rezone approximately 37 acres of commonwealth center  from PD-IP to PD-CC-SC.  SPEX request to permit an automobile service station or gas pumps/car wash accessory to a convenience food store.,PDIP,PDCCSC,37,,,,,,
ZMAP-2016-0018,1,LEESBURG NORTH LANDING : Request a ZMAP of the portion of the property currently zoned AR-1 to R-C. Requesting SPEX approval of gas pumps accessory to a by right    convenience food store.,AR1,RC,,,,,,,
ZMAP-2016-0019,1,BROAD RUN BUSINESS CENTER LOTS 6 AND 7A : ZMAP to rezone PD-GI to PD-IP; see ZRTD-2016-0004 for all documents,PDGI,PDIP,,,,,,,
ZMAP-2016-0020,1,EVERGREEN COMMERCE CENTER : A rezoning from the PD-GI and PD-CC(RC) district to the PD-CC(RC)     district. A Zoning Modification to reduce building and parking        setbacks.,"PDGI, PDCC",PDCCRC,,,,,,,
ZMAP-2016-0021,1,"FLOODPLAIN OVERLAY DISTRICT REMAPPING : Revising the Floodplain Overlay District (FOD) in order to incorporatethe new FEMA Flood Insurance Rate Map data. Related application       ZOAM-2016-0015 to revise reference date of FEMA FIRM and FIS from July5, 2001 to February 17, 2017 at 4-1504(C) in 1993 Revised Zoning      Ordinance.",,,,,,,,,
ZMAP-2016-0022,1,HIGHPOINT EAST : Rezoning on Parcel 1A from PD-RDP under 93 ZO to PD-IP under Revised  93 ZO.  A ZRTD on Parcel 3 to convert it to the R93 ZO.  A SPEX on    both parcels to increase lot coverage to 0.6,PDRDP,PDIP,,,,,,,
ZMAP-2016-0023,1,WHITMAN PROPERTY SOUTH : ZCPA to amend zmap-2014-0008; ZMAP to rezone 7 acres from TR-3 to     PD-CC(CC); SPEX for Automobile service station; SPEX for restaurant   with a drive through facility; SPEX for a telecommunications tower;   ZMOD for a type 3 buffer,TR3,PDCCCC,7,,,,,,
ZMAP-2017-0001,1,"ASHBURN RECREATION CENTER : ZMAP to rezone 2.82 acres from R-1 to PDH3 for development of         115,000sf rec. center and 4 tennis courts, with modifications.  ZCPA  for approval of proffer / cdp to increase the community center on     """"Public Park"""" from 17,500 sf to  sf and to amend the approved proffersto reflect this increase in SQ footage.",R1,PDH3,2.82,,,,,,
ZMAP-2017-0002,1,BRADDOCK SPRING VILLAGE CENTER : A rezoning to the PD-CC-CC zoning district,,PDCCCC,,,,,,,
ZMAP-2017-0003,1,TRUE NORTH DATA : Rezone 105 acres to PD-OP to allow data center uses.,,PDOP,105,,,,,,
ZMAP-2017-0004,1,QUARRY COMMERCE CENTER : ZMAP to convert form CLI and MR-HI zoning to PD-GI under the Revised  1993 ZO for data centers.,"CLI, MRHI",PDGI,,,,,,,
ZMAP-2017-0005,1,DULLES EAST : Rezoning to PD-TC to accommodate a mixed use community.,,PDTC,,,,,,,
ZMAP-2018-0001,1,"MOUNT STERLING : Rezone 20.89 acres to R-16 to allow 98 age-restricted affordable, 144 multifamily, & 74 single-family attached residences.                  A ZMAP to rezone 440 multifamily age restricted units under the       PD-AAAR                                                               Zoning District pursuant to ZMAP-2005-0043 to R-16  for 225           multifamily units and 100 townhouse at market rate, including 13 ADUs.",,R16,,,144,,74,98,
ZMAP-2018-0002,1,BOLEN PARK STADIUM : A Zoning Map Amendment to convert the zoning of the southern half of  the property from JLMA-20 to PD-SA for Sports Stadium per Section     4-700 of the Revised 1993 Zoning Ordinance.,JLMA-20,PDSA,,,,,,,
ZMAP-2018-0003,1,MONTEBELLO FARMS : A ZMAP to rezone from R-1 Single Family Residential to PDH-4 to       construct 406 age-restricted housing units including ADUs.,R1,PDH4,,,,,,406,
ZMAP-2018-0004,1,ASHBROOK RESIDENTIAL : A Zoning Map Amendment to rezone from PD-IP to R-24 for 190           Multifamily Units.,PDIP,R24,,,190,,,,
ZMAP-2018-0005,1,"ONE LOUDOUN : A Zoning Map Amendment to rezone:  1)Land Bay A-5 from PD-SA to PD-TC Districts, 2) Land Bay A-5.1 from PD-SA  to PD-OP and 3) Land Bay 0-7 from PD-OP to PDTC.",PDSA,PDOP,,,,,,,
ZMAP-2018-0005,2,"ONE LOUDOUN : A Zoning Map Amendment to rezone:  1)Land Bay A-5 from PD-SA to PD-TC Districts, 2) Land Bay A-5.1 from PD-SA  to PD-OP and 3) Land Bay 0-7 from PD-OP to PDTC.",PDSA,PDTC,,,,,,,
ZMAP-2018-0006,1,ONE LOUDOUN : A Zoning Map Amendment to rezone Land Bay B-72 from PD-CC(CC) to the  R-16 Zoning District to allow the development of 44 multi-family units(two                                                                  over two).,PDCCCC,R16,,,44,,,,
ZMAP-2018-0007,1,CATTAIL RUN : A Zoning Map Amendment to rezone from JLMA-3 and Rural Commercial     Zoning Districts to the proffered JLMA-3 Zoning District to construct a maximum 300 seat church.,JLMA3,JLMA3,,,,,,,
ZMAP-2018-0008,1,"COMMONWEALTH CENTER LANDBAY E : Rezone approx. 3.59 acres from A3 to PD-CC(SC) and incorporate into   Commonwealth Center                                                   A Zoning Map Amendment to rezone approx. 3.59 acres from A-3 to       PD-CC-SC Zoning                                                       District for a full service Car Wash, Retail and Restaurant use.",A3,PDCCSC,3.59,,,,,,
ZMAP-2018-0009,1,TWIN CREEKS : A Zoning Map Amendment to rezone a 60 acre property from JLMA-3 to    PD-GI Zoning District for industrial uses.,JLMA3,PDGI,,,,,,,
ZMAP-2018-0010,1,ASHBURN STATION / REGENCY PROPERTY : A Zoning Map Amendment to rezone approximately 9.27 acres from CR-1   Zoning District to R-24 for upto  254 Residential Units including     Affordable Dwelling Units (ADUs) pursuant to Sections 3-700 and 7-1000of the Loudoun County Revised 1993 Zoning Ordinance.,CR1,R24,9.27,254,,,,,
ZMAP-2018-0011,1,WATERSIDE NORTH : A Zoning Map Amendment to rezone Land Bay B from PD-CC(SC) to the     PD-IP and replace the Proffers and Concept Development Plan associatedwith ZMAP-2012-0006 for the development of Data Centers.,PDCCSC,PDIP,,,,,,,
ZMAP-2018-0012,1,ASTON MARTIN AND BENTLEY OF LOUDOUN : A Zoning Map Amendment to rezone from PD-OP Zoning District under the Loudoun County 1993 Zoning District to PD-CC-SC for Motor Vehicle     Sales and Accessory Service.,PDOP,GB,,,,,,,
ZMAP-2018-0013,1,THE SHOPS AT MOOREFIELD : A Zoning Map Amendment to rezone approximately 1.10 acre R-1 portion  of the property to PD-TRC.,$1 ,PDTRC,1.1,,,,,,
ZMAP-2018-0014,1,"KINCORA VILLAGE CENTER : A Zoning Map Amendment to rezone approximately 40.37-acre portion of  the property from PD-IP to PD-MUB to build a Museum of National       Intelligence and Special Operations, ZCPA to amend Proffers, add 1200 MF units",PDIP,PDMUB,40.37,,1200,,,,
ZMAP-2018-0015,1,JK TECHNOLOGY PARK #1 : A Zoning Map Amendment to rezone approximately 71.5-acres from CR-1   and R-1 Zoning Districts to PD-IP for an Industrial Park for Office   and Data Center uses.,"CR1, R1",PDIP,71.5,,,,,,
ZMAP-2018-0016,1,GOOSE CREEK VILLAGE EAST : A Zoning Map Amendment to rezone approximately 33.8 acres from PD-OP  to R-8 and 13.9 acres from PD-OP to R-16 to permit the development of 375 units inclusive of 30 Affordable Dwelling Units (ADUs).,PDOP,R24,47.7,375,,,,,30
ZMAP-2019-0001,1,BELFORT PARK DRIVE TOWNHOMES : A Zoning Map Amendment to rezone a 1.97 acre property from R-4 to R-16for the development of 20 townhouses.,R4,R16,1.97,,,,,,
ZMAP-2019-0002,1,PROJECT NOVA : A Zoning Map Amendment to rezone approximately 23.15 acres to be      independent from the proffers and concept plan associated with        ZMAP-1990-0015.,,PDOP,23.15,,,,,,
ZMAP-2019-0003,1,LUCK/HAYDEN/LOUDOUN WATER PROPERTY : A Zoning Map amendment to rezone from PD-IP and MR-HI Zoning Districtsto PD-GI for data centers and other PD-GI uses.,"PDIP, MRHI",PDGI,,,,,,,
ZMAP-2019-0004,1,TURNER PROPERTY : A Zoning Map Amendment to rezone approximately 74.16-acres from TR-10 to PD-OP Zoning District to allow the development of data center uses.,TR10,PDOP,74.16,,,,,,
ZMAP-2019-0005,1,BROADLANDS SECTIONS 23 & 104 : A Zoning Map Amendment to rezone 2.82 acres from R-1 to PD-H3 for 3   residential units per acre.,R1,PDH3,2.82,9,,,,,
ZMAP-2019-0006,1,"HAMILTON BUILDING, LLC : A Zoning Map Amendment to rezone approximately 1.49 acres from PD-OP  to RC Zoning District.",PDOP,RC,1.49,,,,,,
ZMAP-2019-0007,1,STERLING MEADOW : A Zoning Map Amendment to rezone approximately 9.985 acres from       PD-CC-SC Zoning District to R-16 Townhouse/Multifamily Residential forthe development of 166 stacked multi-family units.,PDCCSC,R16,9.985,,166,,,,
ZMAP-2019-0008,1,BELMONT GREENE REVITALIZATION : A Zoning Map Amendment to rezone approximately 12 acres of the        property from PD-H3 to R-8 Single Family Residential  to allow the    development of 97 Residential units inclusive of Affordable Dwelling  Units (ADUs).,PDH3,R8,12,97,,,,,
ZMAP-2019-0009,1,ARNOLD PROPERTY : A Zoning Map Amendment to rezone approximately .97 acre property from Single Family Residential (R-1) to Planned Development Housing 4      (PD-H4) to                                                            allow 4 Single Family detached units.,,PDH4,,,,,,,
ZMAP-2019-0010,1,SYCOLIN ROAD DISTRIBUTION FACILITY : A Zoning Map Amendment to rezone approximately 43 acres from TR-10 andJLMA-20 Zoning Districts to PD-IP for the development of a            Distribution Facility.,,PDIP,,,,,,,
ZMAP-2019-0011,1,"LOUDOUN MUTUAL INSURANCE - WATERFORD : A Zoning Map Amendment to rezone approximately 3.13 acres from CR-2 toRC Zoning District for a corporate office building and to make the    existing building confirming to the appropriate zoning and expand the building to 24,584 Sq. Ft.",,RC,,,,,,,
ZMAP-2019-0012,1,CATTAIL RUN : A Zoning Map Amendment to rezone from JLMA-3 and Rural Commercial     Zoning Districts to the PD-H3 Zoning District administered as         R-8 Zoning for a maximum of 250 residential units.,,PDH3,,,,,,,
ZMAP-2019-0012,2,CATTAIL RUN : A Zoning Map Amendment to rezone from JLMA-3 and Rural Commercial     Zoning Districts to the PD-H3 Zoning District administered as         R-8 Zoning for a maximum of 250 residential units.,,RC,,,,,,,
ZMAP-2019-0013,1,CASCADES PARKWAY SUBDIVISION : A Zoning Map Amendment to rezone approximately 7.6 acres from         PD-CC(RC) and R-1                                                     under the 1993 Loudoun County Zoning Ordinance to R-24 ADU to allow   the development of 219 multi-family dwelling units.,,R24,,,,,,,
